# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
clang, -O2 -march=native -funroll-loops,0.7245,3.231329,0.026214,0.03339
clang, -O2 -march=native -funroll-loops,0.623252,2.810428,0.026318,0.033517
clang, -O2 -march=native -funroll-loops,0.642542,3.20921,0.02629,0.033493
clang, -O2 -march=native -funroll-loops,0.628523,2.969538,0.026336,0.033551
clang, -O2 -march=native -funroll-loops,0.623926,2.976362,0.026291,0.033494
clang, -O2 -march=native -funroll-loops,0.591887,2.892474,0.026245,0.033431
clang, -O2 -march=native -funroll-loops,0.659597,3.141602,0.026285,0.033492
clang, -O2 -march=native -funroll-loops,0.721243,3.40342,0.026343,0.033553
clang, -O2 -march=native -funroll-loops,0.618669,2.978868,0.026205,0.033376
clang, -O2 -march=native -ffast-math -funroll-loops,0.724684,3.461326,0.027151,0.034561
clang, -O2 -march=native -ffast-math -funroll-loops,0.629135,3.487095,0.027257,0.034692
clang, -O2 -march=native -ffast-math -funroll-loops,0.715059,3.319538,0.027283,0.034734
clang, -O2 -march=native -ffast-math -funroll-loops,0.662076,3.211113,0.027079,0.034474
clang, -O2 -march=native -ffast-math -funroll-loops,0.654554,3.120416,0.027317,0.034769
clang, -O2 -march=native -ffast-math -funroll-loops,0.700403,3.296332,0.027203,0.034622
clang, -O2 -march=native -ffast-math -funroll-loops,0.65436,3.124469,0.027369,0.034833
clang, -O2 -march=native -ffast-math -funroll-loops,0.698334,3.270298,0.027163,0.034577
clang, -O2 -march=native -ffast-math -funroll-loops,0.656523,3.153709,0.027422,0.034902
clang, -O2 -march=native -ffast-math -funroll-loops,0.578579,3.50504,0.027253,0.034687
clang, -O3,0.755826,3.427058,0.028356,0.036166
clang, -O3,0.677223,3.507559,0.028409,0.036228
clang, -O3,0.704774,3.218339,0.028253,0.036043
clang, -O3,0.564393,3.062414,0.028519,0.036288
clang, -O3,0.742552,3.455024,0.027573,0.035139
clang, -O3,0.729122,3.36857,0.027117,0.034587
clang, -O3,0.627132,3.014566,0.027443,0.034993
clang, -O3,0.633354,3.011639,0.027244,0.034739
clang, -O3,0.665915,3.184432,0.026699,0.034036
clang, -O3,0.683037,3.195878,0.02697,0.034386
clang, -O3 -march=native,0.59285,3.119418,0.024289,0.030911
clang, -O3 -march=native,0.638436,3.005271,0.023177,0.02952
clang, -O3 -march=native,0.592314,2.847032,0.023346,0.029723
clang, -O3 -march=native,0.60785,2.909605,0.023334,0.029707
clang, -O3 -march=native,0.444555,2.754817,0.023431,0.029833
clang, -O3 -march=native,0.635797,3.013948,0.023207,0.02955
clang, -O3 -march=native,0.546094,2.732083,0.023176,0.029509
clang, -O3 -march=native,0.587759,2.839428,0.02326,0.029616
clang, -O3 -march=native,0.591656,2.775389,0.023244,0.029593
clang, -O3 -march=native,0.563743,2.6976,0.023287,0.029652
clang, -O3 -march=native -ffast-math,0.658531,3.114789,0.02428,0.030892
clang, -O3 -march=native -ffast-math,0.64267,3.105747,0.024379,0.031015
clang, -O3 -march=native -ffast-math,0.589159,2.865092,0.024236,0.030827
clang, -O3 -march=native -ffast-math,0.565724,2.778024,0.024176,0.03076
clang, -O3 -march=native -ffast-math,0.58361,2.979153,0.024333,0.030953
clang, -O3 -march=native -ffast-math,0.544658,2.692922,0.024367,0.030989
clang, -O3 -march=native -ffast-math,0.682123,3.24804,0.028013,0.035622
clang, -O3 -march=native -ffast-math,0.616316,3.09468,0.027576,0.035089
clang, -O3 -march=native -ffast-math,0.604401,3.0505,0.027697,0.035232
clang, -O3 -march=native -ffast-math,0.726597,3.562157,0.02768,0.035216
clang, -O3 -march=native -funroll-loops,0.696117,3.40631,0.026625,0.033907
clang, -O3 -march=native -funroll-loops,0.6947,3.336009,0.026671,0.033961
clang, -O3 -march=native -funroll-loops,0.600721,2.949304,0.026539,0.033819
clang, -O3 -march=native -funroll-loops,0.680935,3.264177,0.026487,0.033723
clang, -O3 -march=native -funroll-loops,0.642227,3.05466,0.026554,0.03382
clang, -O3 -march=native -funroll-loops,0.677119,3.261004,0.026691,0.033986
clang, -O3 -march=native -funroll-loops,0.601422,2.904146,0.026611,0.033876
clang, -O3 -march=native -funroll-loops,0.642866,3.045792,0.026483,0.033718
clang, -O3 -march=native -funroll-loops,0.660083,3.200702,0.026466,0.033696
clang, -O3 -march=native -funroll-loops,0.592249,2.922655,0.026533,0.033782
clang, -O3 -march=native -ffast-math -funroll-loops,0.639497,3.61293,0.027758,0.035321
clang, -O3 -march=native -ffast-math -funroll-loops,0.637495,3.585426,0.027926,0.03552
