N,BLOCK,GFLOPS
256,64,27.270853
256,64,26.838759
256,64,26.880822
256,64,27.000509
256,64,27.132907
256,64,26.65507
256,64,27.489522
256,64,26.893413
256,64,27.152727
256,64,27.121327
256,128,22.005491
256,128,22.757272
256,128,21.508538
256,128,22.622744
256,128,22.606773
256,128,22.9877
256,128,22.725464
256,128,22.645965
256,128,22.582081
256,128,22.910609
256,256,18.673508
256,256,18.722977
256,256,18.703432
256,256,18.752924
256,256,18.787944
256,256,18.807815
256,256,18.673561
256,256,18.694517
256,256,18.784633
256,256,18.819401
500,64,48.818575
500,64,52.064171
500,64,53.538241
500,64,51.348504
500,64,51.738554
500,64,53.322139
500,64,52.541001
500,64,53.296421
500,64,51.851361
500,64,53.467664
500,128,42.743098
500,128,43.102886
500,128,43.350383
500,128,43.194165
500,128,43.129829
500,128,43.426175
500,128,43.469636
500,128,43.263666
500,128,43.321294
500,128,43.39556
500,256,30.441132
500,256,30.611442
500,256,30.145612
500,256,29.831591
500,256,29.965756
500,256,30.150219
500,256,29.861437
500,256,29.843742
500,256,29.859931
500,256,29.910322
864,64,90.460192
864,64,89.42761
864,64,92.261239
864,64,86.788528
864,64,87.102438
864,64,92.961412
864,64,95.107946
864,64,94.785059
864,64,93.036814
864,64,91.863582
864,128,78.843267
864,128,71.823631
864,128,78.944127
864,128,75.426846
864,128,78.201313
864,128,77.280962
864,128,77.48956
864,128,76.812188
864,128,77.737802
864,128,74.082761
864,256,54.247397
864,256,52.40866
864,256,51.65815
864,256,49.236482
864,256,47.885546
864,256,52.656876
864,256,52.279574
864,256,52.718655
864,256,52.854091
864,256,52.391006
1372,64,90.11724
1372,64,79.565714
1372,64,78.794569
1372,64,80.005134
1372,64,79.577427
1372,64,78.748403
1372,64,77.897892
1372,64,74.514353
1372,64,76.1853
1372,64,81.392704
1372,128,118.334402
1372,128,120.953741
1372,128,120.500685
1372,128,120.047905
1372,128,119.410198
1372,128,120.402872
1372,128,121.415881
1372,128,120.531493
1372,128,120.253549
1372,128,120.751875
1372,256,94.508604
1372,256,96.50193
1372,256,96.200797
2048,64,144.353343
2048,64,158.574579
2048,64,153.749571
2048,64,159.214482
2048,64,152.270188
2048,64,155.091071
2048,64,162.238894
2048,64,150.247724
2048,64,153.526539
2048,64,157.66302
2048,128,156.122662
2048,128,157.509713
2048,128,151.455004
2048,128,157.176521
2048,128,156.629625
2048,128,161.424473
2048,128,160.553961
2048,128,156.364525
2048,128,156.271914
2048,128,156.305255
2048,256,110.965443
2048,256,110.717009
2048,256,109.922684
2048,256,107.018182
2048,256,94.769982
2048,256,107.745103
2048,256,107.007805
2048,256,107.945829
2048,256,108.21254
2048,256,107.621301
2916,64,122.850443
2916,64,116.919804
2916,64,118.573258
2916,64,116.239216
2916,128,198.673001
2916,128,206.328848
2916,128,205.255332
2916,128,201.654444
2916,256,184.123977
2916,256,188.972721
2916,256,187.717088
2916,256,188.117001
4000,64,188.496389
4000,64,190.267916
4000,64,191.95868
4000,64,192.508939
4000,128,224.115969
4000,128,224.556374
4000,128,225.115093
4000,128,226.769159
4000,256,209.630644
4000,256,211.747269
4000,256,210.124824
5324,64,98.631414
5324,64,98.634367
5324,64,95.950429
5324,128,232.408246
5324,128,232.795185
5324,128,232.400138
5324,256,248.439825
5324,256,245.375357
6912,64,173.57661
6912,64,179.013387
6912,64,178.271981
6912,128,255.781752
6912,128,257.418877
6912,128,256.002457
8788,64,68.540745
8788,128,231.777797
10976,64,114.058855
10976,128,268.131264
13500,64,188.201735
13500,128,297.088603
