N,BLOCK,GFLOPS
256,64,24.059621
256,64,23.791257
256,64,24.209915
256,64,24.039239
256,64,23.95698
256,64,23.832211
256,64,24.080719
256,64,23.955847
256,64,23.457839
256,64,23.976924
256,128,21.551681
256,128,21.709169
256,128,21.517944
256,128,21.545796
256,128,21.541949
256,128,21.615235
256,128,21.583793
256,128,21.773069
256,128,21.672719
256,128,21.282303
256,256,18.364217
256,256,18.520755
256,256,18.386916
256,256,18.525666
256,256,18.415869
256,256,18.437293
256,256,18.375727
256,256,18.500187
256,256,18.551905
256,256,18.482901
500,64,40.073992
500,64,40.888012
500,64,40.738925
500,64,39.041839
500,64,39.35909
500,64,39.687639
500,64,41.620569
500,64,40.460181
500,64,41.348324
500,64,40.510449
500,128,38.721149
500,128,39.428484
500,128,39.299661
500,128,38.945919
500,128,39.345823
500,128,39.365107
500,128,39.101436
500,128,39.370209
500,128,39.626157
500,128,39.433881
500,256,29.442593
500,256,29.318761
500,256,28.331516
500,256,29.187913
500,256,29.046772
500,256,29.26623
500,256,29.265467
500,256,29.590655
500,256,29.241463
500,256,29.436274
864,64,59.087875
864,64,60.003801
864,64,59.994877
864,64,60.376746
864,64,54.00313
864,64,56.119173
864,64,56.831838
864,64,58.742485
864,64,57.69443
864,64,58.180738
864,128,68.295005
864,128,67.208868
864,128,65.879488
864,128,66.813642
864,128,67.55111
864,128,68.007811
864,128,67.205933
864,128,67.557581
864,128,66.868785
864,128,63.045941
864,256,47.907504
864,256,50.827397
864,256,50.813451
864,256,50.538732
864,256,50.989955
864,256,50.782792
864,256,48.228838
864,256,50.90015
864,256,50.726911
864,256,50.881758
1372,64,43.304546
1372,64,46.909115
1372,64,44.229308
1372,64,45.578244
1372,64,45.672296
1372,64,45.369256
1372,64,45.644158
1372,64,49.184359
1372,64,44.984463
1372,64,46.864814
1372,128,103.333383
1372,128,106.096261
1372,128,104.669171
1372,128,105.339372
1372,128,107.303314
1372,128,105.176781
1372,128,106.603087
1372,128,104.898701
1372,128,106.524286
1372,128,106.588878
1372,256,87.767409
1372,256,90.178845
1372,256,88.930211
1372,256,90.087015
1372,256,89.883113
1372,256,90.464007
1372,256,88.928933
1372,256,89.924629
1372,256,90.724226
1372,256,90.161291
2048,64,132.906264
2048,64,131.175641
2048,64,132.419992
2048,64,122.938588
2048,64,129.677759
2048,64,136.478704
2048,64,134.377293
2048,64,139.026615
2048,128,148.926728
2048,128,146.678571
2048,128,150.38515
2048,128,147.379409
2048,128,150.015913
2048,256,101.115679
2048,256,102.200854
2048,256,103.409359
2048,256,102.772383
2048,256,102.88041
2916,64,72.607031
2916,64,84.577397
2916,64,79.097657
2916,64,87.314826
2916,128,230.108302
2916,128,228.756718
2916,128,224.681851
2916,128,228.909732
2916,256,188.077075
2916,256,169.857984
2916,256,190.796814
2916,256,190.53571
4000,64,168.030052
4000,64,169.753054
4000,64,175.340517
4000,64,161.821829
4000,128,282.23863
4000,128,283.333454
4000,128,279.31497
4000,128,279.848286
4000,256,215.80118
5324,64,63.20692
5324,64,62.12747
5324,64,60.157867
5324,128,272.225937
6912,64,126.118708
6912,64,121.918597
6912,64,125.640839
6912,128,343.832258
6912,128,344.862708
8788,128,238.009077
8788,128,228.3513
10976,64,79.437552
10976,128,328.150703
13500,64,131.130773
13500,128,405.908431
