N,BLOCK,GFLOPS
256,32,14.760981
256,32,16.280461
256,32,16.12582
256,32,14.735518
256,32,15.681863
256,32,16.307892
256,32,16.479325
256,32,15.65033
256,32,15.99064
256,32,15.288196
256,64,24.059621
256,64,23.791257
256,64,24.209915
256,64,24.039239
256,64,23.95698
256,64,23.832211
256,64,24.080719
256,64,23.955847
256,64,23.457839
256,64,23.976924
256,128,21.551681
256,128,21.709169
256,128,21.517944
256,128,21.545796
256,128,21.541949
256,128,21.615235
256,128,21.583793
256,128,21.773069
256,128,21.672719
256,128,21.282303
256,256,18.364217
256,256,18.520755
256,256,18.386916
256,256,18.525666
256,256,18.415869
256,256,18.437293
256,256,18.375727
256,256,18.500187
256,256,18.551905
256,256,18.482901
500,32,17.367815
500,32,17.375529
500,32,19.521994
500,32,20.365013
500,32,19.411116
500,32,20.394569
500,32,18.841247
500,32,20.312298
500,32,18.685951
500,32,20.289469
500,64,40.073992
500,64,40.888012
500,64,40.738925
500,64,39.041839
500,64,39.35909
500,64,39.687639
500,64,41.620569
500,64,40.460181
500,64,41.348324
500,64,40.510449
500,128,38.721149
500,128,39.428484
500,128,39.299661
500,128,38.945919
500,128,39.345823
500,128,39.365107
500,128,39.101436
500,128,39.370209
500,128,39.626157
500,128,39.433881
500,256,29.442593
500,256,29.318761
500,256,28.331516
500,256,29.187913
500,256,29.046772
500,256,29.26623
500,256,29.265467
500,256,29.590655
500,256,29.241463
500,256,29.436274
864,32,16.512587
864,32,19.442147
864,32,19.925219
864,32,20.618939
864,32,17.962397
864,32,19.724702
864,32,18.880662
864,32,19.595408
864,32,19.220386
864,32,19.749999
864,64,59.087875
864,64,60.003801
864,64,59.994877
864,64,60.376746
864,64,54.00313
864,64,56.119173
864,64,56.831838
864,64,58.742485
864,64,57.69443
864,64,58.180738
864,128,68.295005
864,128,67.208868
864,128,65.879488
864,128,66.813642
864,128,67.55111
864,128,68.007811
864,128,67.205933
864,128,67.557581
864,128,66.868785
864,128,63.045941
864,256,47.907504
864,256,50.827397
864,256,50.813451
864,256,50.538732
864,256,50.989955
864,256,50.782792
864,256,48.228838
864,256,50.90015
864,256,50.726911
864,256,50.881758
864,512,34.627187
864,512,34.329481
864,512,34.404095
864,512,34.461354
864,512,34.573046
864,512,34.492661
864,512,34.395564
864,512,34.448341
864,512,34.52363
864,512,34.540386
1372,32,14.102546
1372,32,14.125399
1372,32,12.929091
1372,32,13.489045
1372,32,13.954399
1372,32,12.597897
1372,32,14.069509
1372,32,14.230395
1372,32,13.910461
1372,32,13.715457
1372,64,43.304546
1372,64,46.909115
1372,64,44.229308
1372,64,45.578244
1372,64,45.672296
1372,64,45.369256
1372,64,45.644158
1372,64,49.184359
1372,64,44.984463
1372,64,46.864814
1372,128,103.333383
1372,128,106.096261
1372,128,104.669171
1372,128,105.339372
1372,128,107.303314
1372,128,105.176781
1372,128,106.603087
1372,128,104.898701
1372,128,106.524286
1372,128,106.588878
1372,256,87.767409
1372,256,90.178845
1372,256,88.930211
1372,256,90.087015
1372,256,89.883113
1372,256,90.464007
1372,256,88.928933
1372,256,89.924629
1372,256,90.724226
1372,256,90.161291
1372,512,60.858728
1372,512,56.607754
1372,512,61.057054
1372,512,61.052535
1372,512,60.951448
1372,512,61.19056
1372,512,61.013033
1372,512,61.607481
1372,512,60.784792
1372,512,61.289321
#2048,32,34.094797
#2048,32,36.074592
#2048,32,32.783753
#2048,32,35.960203
#2048,32,36.110884
#2048,32,36.919378
#2048,32,36.106011
#2048,32,33.925784
#2048,32,32.802745
#2048,32,35.262812
#2048,64,132.906264
#2048,64,131.175641
#2048,64,132.419992
#2048,64,122.938588
#2048,64,129.677759
#2048,64,136.478704
#2048,64,134.377293
#2048,64,139.026615
#2916,32,21.962893
#2916,32,21.915762
#2916,32,20.674395
#4000,32,39.067063
#4000,32,40.149556
#4000,32,40.263541
#6912,32,33.060758
