N,BLOCK,GFLOPS
256,32,23.050386
256,32,22.494193
256,32,21.487853
256,32,22.156759
256,32,22.124268
256,32,22.394403
256,32,22.385949
256,32,24.743981
256,32,22.175783
256,32,21.897821
256,64,27.270853
256,64,26.838759
256,64,26.880822
256,64,27.000509
256,64,27.132907
256,64,26.65507
256,64,27.489522
256,64,26.893413
256,64,27.152727
256,64,27.121327
256,128,22.005491
256,128,22.757272
256,128,21.508538
256,128,22.622744
256,128,22.606773
256,128,22.9877
256,128,22.725464
256,128,22.645965
256,128,22.582081
256,128,22.910609
256,256,18.673508
256,256,18.722977
256,256,18.703432
256,256,18.752924
256,256,18.787944
256,256,18.807815
256,256,18.673561
256,256,18.694517
256,256,18.784633
256,256,18.819401
500,32,32.414513
500,32,47.162616
500,32,44.16026
500,32,41.082677
500,32,46.887033
500,32,39.36824
500,32,41.670201
500,32,44.997358
500,32,44.367508
500,32,39.792215
500,64,48.818575
500,64,52.064171
500,64,53.538241
500,64,51.348504
500,64,51.738554
500,64,53.322139
500,64,52.541001
500,64,53.296421
500,64,51.851361
500,64,53.467664
500,128,42.743098
500,128,43.102886
500,128,43.350383
500,128,43.194165
500,128,43.129829
500,128,43.426175
500,128,43.469636
500,128,43.263666
500,128,43.321294
500,128,43.39556
500,256,30.441132
500,256,30.611442
500,256,30.145612
500,256,29.831591
500,256,29.965756
500,256,30.150219
500,256,29.861437
500,256,29.843742
500,256,29.859931
500,256,29.910322
864,32,41.259039
864,32,41.334542
864,32,37.274215
864,32,44.773185
864,32,31.60455
864,32,39.652165
864,32,41.773514
864,32,46.041791
864,32,47.103049
864,32,41.242448
864,64,90.460192
864,64,89.42761
864,64,92.261239
864,64,86.788528
864,64,87.102438
864,64,92.961412
864,64,95.107946
864,64,94.785059
864,64,93.036814
864,64,91.863582
864,128,78.843267
864,128,71.823631
864,128,78.944127
864,128,75.426846
864,128,78.201313
864,128,77.280962
864,128,77.48956
864,128,76.812188
864,128,77.737802
864,128,74.082761
864,256,54.247397
864,256,52.40866
864,256,51.65815
864,256,49.236482
864,256,47.885546
864,256,52.656876
864,256,52.279574
864,256,52.718655
864,256,52.854091
864,256,52.391006
864,512,34.18181
864,512,35.557881
864,512,35.887648
864,512,35.302985
864,512,36.586432
864,512,35.171699
864,512,35.339429
864,512,34.47706
864,512,34.957751
864,512,35.134323
1372,32,19.089204
1372,32,18.600247
1372,32,19.833978
1372,32,19.842608
1372,32,19.370383
1372,32,19.758349
1372,32,18.626541
1372,32,18.632153
1372,32,21.169758
1372,32,21.1999
1372,64,90.11724
1372,64,79.565714
1372,64,78.794569
1372,64,80.005134
1372,64,79.577427
1372,64,78.748403
1372,64,77.897892
1372,64,74.514353
1372,64,76.1853
1372,64,81.392704
1372,128,118.334402
1372,128,120.953741
1372,128,120.500685
1372,128,120.047905
1372,128,119.410198
1372,128,120.402872
1372,128,121.415881
1372,128,120.531493
1372,128,120.253549
1372,128,120.751875
1372,256,94.508604
1372,256,96.50193
1372,256,96.200797
1372,512,61.778066
1372,512,62.061837
1372,512,62.049943
1372,512,61.940599
1372,512,62.170484
1372,512,62.151934
1372,512,62.473116
1372,512,62.565013
1372,512,54.708678
1372,512,62.314199
#2048,32,55.873847
#2048,32,48.967302
#2048,32,48.410745
#2048,32,49.805607
#2048,32,56.1883
#2048,32,51.902782
#2048,32,51.196039
#2048,32,52.539174
#2048,32,48.620641
#2048,32,46.895017
#2048,64,144.353343
#2048,64,158.574579
#2048,64,153.749571
#2048,64,159.214482
#2048,64,152.270188
#2048,64,155.091071
#2048,64,162.238894
#2048,64,150.247724
#2048,64,153.526539
#2048,64,157.66302
#2048,128,156.122662
#2048,128,157.509713
#2048,128,151.455004
#2048,128,157.176521
#2048,128,156.629625
#2048,128,161.424473
#2048,128,160.553961
#2048,128,156.364525
#2048,128,156.271914
#2048,128,156.305255
#2048,256,110.965443
#2048,256,110.717009
#2048,256,109.922684
#2916,32,28.262512
#2916,32,28.024492
#2916,32,25.412889
#2916,32,28.163758
#4000,32,51.270458
#4000,32,55.252551
#4000,32,57.058369
#4000,32,57.288675
#4000,32,52.826976
#6912,32,43.309181
