N,BLOCK,GFLOPS
256,64,21.469082
256,64,20.445346
256,64,21.646583
256,64,21.349957
256,64,20.948915
256,64,21.310516
256,64,20.8606
256,64,20.201343
256,64,21.305298
256,64,21.041834
256,128,20.732304
256,128,20.651892
256,128,20.663793
256,128,21.064256
256,128,20.69046
256,128,20.658941
256,128,20.693693
256,128,20.192206
256,128,20.350209
256,128,20.746457
256,256,18.015378
256,256,17.766166
256,256,18.199037
256,256,18.082221
256,256,17.940228
256,256,18.017368
256,256,17.682211
256,256,18.060575
256,256,17.951154
256,256,18.102067
500,64,33.64784
500,64,33.523288
500,64,33.199817
500,64,33.254582
500,64,34.225341
500,64,34.417058
500,64,34.490308
500,64,33.910495
500,64,34.710835
500,64,33.845751
500,128,35.200871
500,128,35.479506
500,128,36.423921
500,128,34.887057
500,128,36.07177
500,128,36.185564
500,128,34.957447
500,128,36.601743
500,128,36.674936
500,128,36.598471
500,256,28.258921
500,256,28.205302
500,256,28.804109
500,256,27.895536
500,256,28.329919
500,256,28.52342
500,256,28.403241
500,256,28.240351
500,256,28.54809
500,256,28.420731
864,64,39.317644
864,64,33.16812
864,64,38.033339
864,64,38.254764
864,64,36.02911
864,64,39.239891
864,64,37.788292
864,64,37.407244
864,64,38.883012
864,128,58.42418
864,128,56.46303
864,128,59.185391
864,128,57.796643
864,128,58.700649
864,128,59.562226
864,128,58.265502
864,128,58.185585
864,128,60.052361
864,128,59.179678
864,256,42.90122
864,256,48.698334
864,256,48.29322
864,256,48.250176
864,256,48.134217
864,256,46.263982
864,256,47.990234
864,256,47.881472
864,256,48.152356
864,256,46.447068
1372,64,28.64424
1372,64,25.536156
1372,64,27.499295
1372,64,27.861716
1372,64,29.545724
1372,64,28.681849
1372,64,28.471538
1372,64,27.290679
1372,64,28.453201
1372,64,29.518294
1372,128,81.935014
1372,128,84.883646
1372,128,82.222516
1372,128,82.768644
1372,128,81.67255
1372,128,78.535699
1372,128,82.430326
1372,128,84.991396
1372,128,79.2286
1372,128,84.110371
1372,256,80.670809
1372,256,82.87406
1372,256,81.773744
1372,256,81.697442
1372,256,82.039787
1372,256,81.668233
1372,256,82.734769
1372,256,80.27189
1372,256,81.931666
1372,256,80.500618
2048,64,34.607836
2048,64,35.890453
2048,64,35.830584
2048,64,33.055822
2048,64,35.773967
2048,128,40.129094
2048,128,39.896424
2048,128,40.459716
2048,128,40.238836
2048,128,40.324702
2048,256,37.223508
2048,256,37.409707
2916,64,31.368301
2916,64,35.391677
2916,64,33.71448
2916,64,34.746147
2916,128,71.148395
2916,128,71.926643
2916,128,71.413806
4000,64,64.600409
4000,64,92.554576
4000,64,95.17735
4000,64,109.006296
4000,128,258.888012
4000,128,262.067972
4000,128,259.065933
4000,128,261.738248
4000,256,202.465153
4000,256,204.474259
4000,256,202.549192
4000,256,204.570821
5324,64,48.603519
5324,64,47.689584
6912,64,83.862491
6912,64,87.826555
