N,BLOCK,GFLOPS
256,32,9.430088
256,32,12.127442
256,32,11.555366
256,32,11.429382
256,32,10.64861
256,32,11.84392
256,32,11.870607
256,32,11.486995
256,32,11.436867
256,32,11.121249
256,64,21.469082
256,64,20.445346
256,64,21.646583
256,64,21.349957
256,64,20.948915
256,64,21.310516
256,64,20.8606
256,64,20.201343
256,64,21.305298
256,64,21.041834
256,128,20.732304
256,128,20.651892
256,128,20.663793
256,128,21.064256
256,128,20.69046
256,128,20.658941
256,128,20.693693
256,128,20.192206
256,128,20.350209
256,128,20.746457
256,256,18.015378
256,256,17.766166
256,256,18.199037
256,256,18.082221
256,256,17.940228
256,256,18.017368
256,256,17.682211
256,256,18.060575
256,256,17.951154
256,256,18.102067
500,32,13.722285
500,32,12.712535
500,32,13.461379
500,32,11.005798
500,32,12.104776
500,32,9.014045
500,32,13.715673
500,32,13.190045
500,32,13.062595
500,32,12.496594
500,64,33.64784
500,64,33.523288
500,64,33.199817
500,64,33.254582
500,64,34.225341
500,64,34.417058
500,64,34.490308
500,64,33.910495
500,64,34.710835
500,64,33.845751
500,128,35.200871
500,128,35.479506
500,128,36.423921
500,128,34.887057
500,128,36.07177
500,128,36.185564
500,128,34.957447
500,128,36.601743
500,128,36.674936
500,128,36.598471
500,256,28.258921
500,256,28.205302
500,256,28.804109
500,256,27.895536
500,256,28.329919
500,256,28.52342
500,256,28.403241
500,256,28.240351
500,256,28.54809
500,256,28.420731
864,32,12.189028
864,32,12.873821
864,32,11.821114
864,32,12.05969
864,32,12.899794
864,32,12.092917
864,32,11.846215
864,32,12.479891
864,32,12.950385
864,32,8.596317
864,64,39.317644
864,64,33.16812
864,64,38.033339
864,64,38.254764
864,64,36.02911
864,64,39.239891
864,64,37.788292
864,64,37.407244
864,64,38.883012
864,128,58.42418
864,128,56.46303
864,128,59.185391
864,128,57.796643
864,128,58.700649
864,128,59.562226
864,128,58.265502
864,128,58.185585
864,128,60.052361
864,128,59.179678
864,256,42.90122
864,256,48.698334
864,256,48.29322
864,256,48.250176
864,256,48.134217
864,256,46.263982
864,256,47.990234
864,256,47.881472
864,256,48.152356
864,256,46.447068
864,512,33.360581
864,512,33.278217
864,512,33.255922
864,512,33.368929
864,512,33.184172
864,512,33.299489
864,512,33.200603
864,512,33.517894
864,512,33.439842
864,512,33.007401
1372,32,9.644633
1372,32,9.133062
1372,32,9.759952
1372,32,9.137068
1372,32,10.361767
1372,64,28.64424
1372,64,25.536156
1372,64,27.499295
1372,64,27.861716
1372,64,29.545724
1372,64,28.681849
1372,64,28.471538
1372,64,27.290679
1372,64,28.453201
1372,64,29.518294
1372,128,81.935014
1372,128,84.883646
1372,128,82.222516
1372,128,82.768644
1372,128,81.67255
1372,128,78.535699
1372,128,82.430326
1372,128,84.991396
1372,128,79.2286
1372,128,84.110371
1372,256,80.670809
1372,256,82.87406
1372,256,81.773744
1372,256,81.697442
1372,256,82.039787
1372,256,81.668233
1372,256,82.734769
1372,256,80.27189
1372,256,81.931666
1372,256,80.500618
1372,512,57.468807
1372,512,58.165036
1372,512,57.656562
1372,512,58.428579
1372,512,58.373916
1372,512,58.472278
1372,512,58.136103
#1372,1024,36.063329
#1372,1024,35.931931
#1372,1024,36.160026
#1372,1024,35.630584
#1372,1024,36.008803
#1372,1024,35.90345
#1372,1024,35.841108
#1372,1024,35.908591
#1372,1024,35.922521
#1372,1024,36.163536
#2048,32,25.596847
#2048,32,26.081379
#2048,32,26.145683
#2048,32,25.533216
#2048,32,26.225648
#2048,32,25.334322
#2048,32,22.6721
#2048,32,25.826638
#2916,32,15.597201
#2916,32,17.320638
#4000,32,31.233764
#4000,32,29.154541
