Densidad,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.4
Secuencial,-4748.551972,-5126.220498,-4367.91629,-4344.931651,-4115.46179,-3719.810983,-3238.702725,-2719.926199,-2195.569164
ISPC,-4751.367838,-5128.308214,-4547.031085,-4358.822304,-4106.70241,-3718.763525,-3250.484801,-2720.060973,-2189.192933
OMP,-4805.591865, -5185.046842, -4427.650950, -4406.172567, -4150.879872, -3757.022419, -3270.309410, -2754.602653, -2207.630661
CUDA,-4751.469889,-5135.276209,-4374.428534,-4350.157038,-4113.669062,-3718.384593,-3245.953763,-2711.494609,-2202.179031
